desk 办公桌；服务台；编辑部；（美）讲道台；乐谱架
desolate 荒凉的；无人烟的
despatch 派遣；发送（等于dispatch）
dessert 餐后甜点；甜点心
detail 细节，详情
detain 拘留；留住；耽搁
detective 侦探
deter 制止，阻止；使打消念头
develop 发育；生长；进化；显露
deviate 脱离；越轨
device 装置；策略；图案
devil 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
dew 珠，滴；露水；清新
diabetes 糖尿病；多尿症
diagnose 诊断；断定
diagram 图表；图解
dial 转盘；刻度盘；钟面
dialect 方言，土话；同源语；行话；个人用语特征
dialog 对话；会话
dialogue 对话；意见交换
diameter 直径
diary 日志，日记；日记簿
dictation 听写；口述；命令
dictionary 字典；词典
die 冲模，钢模；骰子
diet 饮食；食物；规定饮食
different 不同的；个别的，与众不同的
difficult 困难的；不随和的；执拗的
difficulty 困难，困境
dig 戳，刺；挖苦
digest 文摘；摘要
dilute 稀释；冲淡；削弱
dim 笨蛋，傻子
dine 进餐，用餐
dinner 晚餐，晚宴；宴会；正餐
dinosaur 恐龙；过时、落伍的人或事物
dip 下沉，下降；倾斜；浸渍，蘸湿
diploma 毕业证书，学位证书；公文，文书；奖状
diplomatic 外交的；外交上的；老练的
direct 直接的；直系的；亲身的；恰好的
direction 方向；指导；趋势；用法说明
director 主任，主管；导演；人事助理
directory 目录；工商名录；姓名地址录
dirt 污垢，泥土；灰尘，尘土；下流话
dirty 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
disastrous 灾难性的；损失惨重的；悲伤的
disc 圆盘， 唱片（等于disk）
discount 折扣；贴现率
discover 发现
discreet 谨慎的；小心的
discrepancy 不符；矛盾；相差
discrete 分立元件；独立部件
discretion 自由裁量权；谨慎；判断力；判定；考虑周到
disease 病， 疾病；弊病
disgust 厌恶，嫌恶
dish 盘；餐具；一盘食物；外貌有吸引力的人
disk 磁盘，磁碟片；圆盘，盘状物；唱片
dismay 沮丧，灰心；惊慌
dispatch 派遣；急件
disperse 分散；使散开；传播
displace 取代；置换；转移；把…免职；排水
dispose 处置；性情
disrupt 破坏；使瓦解；使分裂；使中断；使陷于混乱
dissipate 驱散；放荡
distil 蒸馏；提取…的精华；使渗出
distill 提取；蒸馏；使滴下
distress 危难，不幸；贫困；悲痛
disturbance 干扰；骚乱；忧虑
dive 潜水；跳水；俯冲；扑
divide 分水岭，分水线
divine 牧师；神学家
dizzy 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
do 行，足够；生长
dock 码头；船坞；被告席；尾巴的骨肉部分
doctor 修理；篡改，伪造；为…治病；授以博士学位
documentary 纪录片
dog 狗；丑女人；卑鄙的人；朋友
doll 洋娃娃；玩偶；无头脑的美丽女人
dollar 美元
donkey 驴子；傻瓜；顽固的人
door 门；家，户；门口；通道
doorway 门口；途径
dorm 宿舍（等于dormitory）
dormitory 宿舍，学生宿舍
dot 点，圆点；嫁妆
dove 鸽子；鸽派人士
down 沿着，往下
downstairs 楼下
downtown 市中心区；三分线以外
downward 向下的，下降的
doze 瞌睡
dragon 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
draw 平局；抽签
drawer 抽屉；开票人；出票人；起草者；酒馆侍
drawing 图画；牵引；素描术
dread 恐惧；可怕的人（或物）
dream 梦想，愿望；梦
dress 连衣裙；女装
drill 训练；钻孔机；钻子；播种机
drink 酒，饮料；喝酒
drip 水滴，滴水声；静脉滴注；使人厌烦的人
drive 驱动器；驾车； 内驱力，推进力；快车道
driver 驾驶员；驱动程序；起子；传动器
drone 雄蜂；嗡嗡的声音；懒惰者
drop 滴；落下；空投；微量；滴剂
drown 淹没；把…淹死
drug 药；毒品；麻醉药；滞销货
drum 鼓；鼓声
